DBN,Median Income (2020$),Black,Asian,FRL,Hispanic,White,Subject,Proficient Rate,Segregated School
01M015,19029.0,56.0,9.0,146.0,105.0,2.0,ELA,0.2810835221857143,Segregated
01M019,19029.0,52.0,27.0,213.0,169.0,15.0,ELA,0.4337904821142857,Segregated
01M020,56379.0,48.0,208.0,347.0,281.0,24.0,ELA,0.29541463308571425,Segregated
01M034,19029.0,112.0,18.0,374.0,240.0,16.0,ELA,0.23570660182857142,Segregated
01M063,19029.0,40.0,9.0,169.0,131.0,19.0,ELA,0.38836545535714284,Segregated
01M110,56379.0,38.0,63.0,211.0,175.0,107.0,ELA,0.5836560113142857,Non-Segregated
01M134,56379.0,54.0,56.0,241.0,145.0,7.0,ELA,0.2271351323857143,Segregated
01M140,56379.0,48.0,20.0,288.0,292.0,13.0,ELA,0.1798239578514286,Segregated
01M142,56379.0,42.0,24.0,342.0,277.0,8.0,ELA,0.23707107815714284,Segregated
01M184,18012.0,24.0,471.0,467.0,78.0,58.0,ELA,0.6916933768285713,Segregated
01M188,19029.0,144.0,9.0,424.0,317.0,21.0,ELA,0.17101606641714287,Segregated
01M315,19029.0,26.0,28.0,64.0,61.0,162.0,ELA,0.5354928316285714,Non-Segregated
01M332,18012.0,30.0,6.0,94.0,68.0,4.0,ELA,0.2164076341757143,Segregated
01M361,19029.0,29.0,27.0,124.0,101.0,100.0,ELA,0.5221059308714285,Non-Segregated
01M363,19029.0,40.0,17.0,121.0,109.0,141.0,ELA,0.34101441520000003,Non-Segregated
01M364,19029.0,43.0,25.0,157.0,120.0,127.0,ELA,0.4425156975,Non-Segregated
01M378,56379.0,59.0,40.0,184.0,155.0,5.0,ELA,0.21544965608571431,Segregated
01M450,19029.0,140.0,73.0,473.0,362.0,79.0,ELA,0.4523673520857143,Segregated
01M539,56379.0,155.0,572.0,474.0,198.0,722.0,ELA,0.9552871812999999,Non-Segregated
01M839,19029.0,59.0,86.0,258.0,139.0,75.0,ELA,0.5015217917428572,Non-Segregated
02M001,18012.0,48.0,259.0,247.0,89.0,4.0,ELA,0.43189844405714284,Segregated
02M002,18012.0,25.0,573.0,646.0,63.0,8.0,ELA,0.5001052638428571,Segregated
02M003,90781.0,42.0,56.0,131.0,97.0,551.0,ELA,0.6856747164000001,Non-Segregated
02M006,120833.0,17.0,91.0,45.0,51.0,541.0,ELA,0.8068486349857144,Non-Segregated
02M011,110431.0,62.0,132.0,256.0,234.0,453.0,ELA,0.6518208204,Non-Segregated
02M040,87985.0,18.0,54.0,52.0,83.0,402.0,ELA,0.7985739680714287,Non-Segregated
02M041,90781.0,13.0,67.0,28.0,69.0,499.0,ELA,0.7833530535,Non-Segregated
