DBN,SchoolName,NTA2020,Longitude,Latitude,TotalStudents,Asian,Black,Hispanic,White,Asian_Math_Proficient,Black_Math_Proficient,Hispanic_Math_Proficient,White_Math_Proficient,Segregated,Top,proficient
01M015,PS 15 ROBERTO CLEMENTE,MN0303,-73.978775,40.721903,175.0,9.0,56.0,105.0,2.0,,47.36841965,59.52381134,,1.0,Public Schools,53.446115495
01M019,PS 19 ASHER LEVY,MN0303,-73.984224,40.729885,267.0,27.0,52.0,169.0,15.0,,43.75,54.54545593,,1.0,Public Schools,49.147727965
01M020,PS 20 ANNA SILVER,MN0302,-73.986337,40.721263,582.0,208.0,48.0,281.0,24.0,52.56410217,,26.13636398,,1.0,Public Schools,39.350233075
01M034,PS 34 FRANKLIN D ROOSEVELT,MN0303,-73.97498,40.72624,386.0,18.0,112.0,240.0,16.0,75.0,15.15151501,19.29824638,28.5714283,1.0,Public Schools,34.5052974225
01M063,STAR ACADEMY PS 63 (THE),MN0303,-73.986271,40.724394,201.0,9.0,40.0,131.0,19.0,,60.0,37.73584747,,1.0,Public Schools,48.867923735000005
01M110,PS 110 FLORENCE NIGHTINGALE,MN0302,-73.980034,40.715312,399.0,63.0,38.0,175.0,107.0,87.5,46.15384674,55.73770523,87.80487823,0.0,Public Schools,69.29910755
01M134,PS 134 HENRIETTA SZOLD,MN0302,-73.98327,40.714299,264.0,56.0,54.0,145.0,7.0,,28.5714283,38.35616302,,1.0,Public Schools,33.46379566
01M140,PS 140 NATHAN STRAUS,MN0302,-73.983432,40.719109,377.0,20.0,48.0,292.0,13.0,60.0,15.15151501,26.94610786,16.66666603,1.0,Public Schools,29.691072225
01M142,PS 142 AMALIA CASTRO,MN0302,-73.984033,40.718333,357.0,24.0,42.0,277.0,8.0,,21.05263138,41.33333206,,1.0,Public Schools,31.19298172
01M184,PS 184 SHUANG WEN,MN0301,-73.985468,40.711412,664.0,471.0,24.0,78.0,58.0,78.64406586,57.89473724,52.17391205,84.84848785,1.0,Public Schools,68.39030075
01M188,PS 188 ISLAND SCHOOL (THE),MN0303,-73.977508,40.719714,493.0,9.0,144.0,317.0,21.0,,25.0,25.43352509,,1.0,Public Schools,25.216762545
01M315,EAST VILLAGE COMMUNITY SCHOOL (THE),MN0303,-73.978441,40.727688,296.0,28.0,26.0,61.0,162.0,60.0,33.33333206,50.0,66.66666412,0.0,Public Schools,52.499999044999996
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,MN0301,-73.98597,40.71321,109.0,6.0,30.0,68.0,4.0,53.33333206,33.33333206,23.80952454,64.2857132,1.0,Public Schools,43.690475465
01M361,CHILDREN'S WORKSHOP SCHOOL (THE),MN0303,-73.978458,40.727703,263.0,27.0,29.0,101.0,100.0,66.66666412,33.33333206,45.23809433,81.8181839,0.0,Public Schools,56.76406860249999
01M363,NEIGHBORHOOD SCHOOL,MN0303,-73.986271,40.724394,315.0,17.0,40.0,109.0,141.0,,,20.0,60.0,0.0,Public Schools,40.0
01M364,EARTH SCHOOL,MN0303,-73.981582,40.724207,340.0,25.0,43.0,120.0,127.0,,,13.33333302,40.0,0.0,Public Schools,26.66666651
