School Name_x,State Name,County Name,City,ZIP,School Type,Charter School,Magnet School,Urban-centric Locale,Title I Eligible,Total Students,FRL,American Indian/Alaska Native,Asian,Hispanic,Black,White,Other,Multi-Race,Pupil/Teacher Ratio,Percentage of FRL,Percentage of American Indian/Alaska Native,Percentage of Asian,Percentage of Hispanic,Percentage of Black,Percentage of White,Percentage of Other,Percentage of Multi-Race,DBN,Latitude,Longitude,School Name_y,Impact Score,Performance Score
30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),NEW YORK,Queens County,ASTORIA,11102.0,Public,0,0,11-City: Large,1,238,61,4.0,107.0,21.0,13.0,73.0,0.0,20.0,18.38,25.630252100840334,1.680672268907563,44.957983193277315,8.823529411764707,5.46218487394958,30.672268907563026,0.0,8.403361344537815,30Q300,40.768234,-73.922895,The 30th Avenue School (G&T Citywide),0.55,1.03
47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),NEW YORK,New York County,NEW YORK,10010.0,Public,0,0,11-City: Large,1,191,129,0.0,8.0,90.0,41.0,44.0,0.0,8.0,5.98,67.5392670157068,0.0,4.18848167539267,47.12041884816754,21.465968586387437,23.036649214659686,0.0,4.18848167539267,02M347,40.738315,-73.981365,The 47 American Sign Language & English Lower School,0.45,0.37
51ST AVENUE ACADEMY (THE PATH TO ACADEMIC EXCELLENCE),NEW YORK,Queens County,ELMHURST,11373.0,Public,0,0,11-City: Large,1,489,442,1.0,292.0,183.0,5.0,8.0,0.0,0.0,15.28,90.38854805725971,0.2044989775051125,59.71370143149284,37.423312883435585,1.0224948875255624,1.6359918200409,0.0,0.0,24Q877,40.737203,-73.887099,,,
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,NEW YORK,New York County,NEW YORK,10031.0,Public,0,0,11-City: Large,1,1457,1195,4.0,78.0,881.0,440.0,23.0,0.0,31.0,19.93,82.0178448867536,0.27453671928620454,5.353466026080989,60.46671242278655,30.199039121482496,1.578586135895676,0.0,2.127659574468085,06M540,40.818291,-73.950111,A. Philip Randolph Campus High School,0.45,0.43
A-TECH HIGH SCHOOL,NEW YORK,Kings County,BROOKLYN,11222.0,Public,0,0,11-City: Large,1,382,297,3.0,10.0,156.0,201.0,9.0,0.0,3.0,15.93,77.74869109947645,0.7853403141361256,2.6178010471204187,40.83769633507853,52.617801047120416,2.356020942408377,0.0,0.7853403141361256,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,NEW YORK,Kings County,BROOKLYN,11235.0,Public,0,0,11-City: Large,1,2114,1438,13.0,345.0,492.0,858.0,390.0,0.0,16.0,18.61,68.02270577105014,0.6149479659413435,16.319772942289497,23.273415326395458,40.586565752128664,18.448438978240304,0.0,0.7568590350047304,21K410,40.582372,-73.968078,Abraham Lincoln High School,0.6,0.58
ACAD FOR COLLEGE PREP AND CAREER EXP,NEW YORK,Kings County,BROOKLYN,11226.0,Public,0,0,11-City: Large,1,442,352,9.0,6.0,62.0,357.0,6.0,0.0,2.0,16.0,79.63800904977376,2.0361990950226243,1.3574660633484164,14.027149321266968,80.76923076923077,1.3574660633484164,0.0,0.4524886877828055,,,,,,
ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,NEW YORK,Bronx County,BRONX,10466.0,Public,0,0,11-City: Large,1,388,287,7.0,14.0,123.0,238.0,5.0,0.0,1.0,15.25,73.96907216494846,1.804123711340206,3.608247422680412,31.70103092783505,61.34020618556701,1.2886597938144329,0.0,0.25773195876288657,,,,,,
ACADEMIC LEADERSHIP CHARTER SCHOOL,NEW YORK,Bronx County,BRONX,10454.0,Public,1,0,11-City: Large,1,485,0,2.0,2.0,247.0,229.0,3.0,0.0,2.0,29.16,0.0,0.4123711340206186,0.4123711340206186,50.92783505154639,47.21649484536082,0.6185567010309279,0.0,0.4123711340206186,84X491,40.80792,-73.912561,Academic Leadership Charter School,0.86,0.78
ACADEMY FOR CAREERS IN TELEVISION AND FILM,NEW YORK,Queens County,LONG ISLAND CITY,11101.0,Public,0,0,11-City: Large,0,545,343,3.0,34.0,293.0,86.0,109.0,0.0,20.0,16.1,62.93577981651376,0.5504587155963303,6.238532110091743,53.76146788990825,15.77981651376147,20.0,0.0,3.669724770642202,30Q301,40.742723,-73.959366,Academy for Careers in Television and Film,0.64,0.67
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,NEW YORK,Kings County,BROOKLYN,11236.0,Public,0,0,11-City: Large,1,289,238,0.0,11.0,29.0,240.0,8.0,0.0,1.0,12.6,82.35294117647058,0.0,3.8062283737024223,10.034602076124568,83.04498269896193,2.768166089965398,0.0,0.34602076124567477,18K637,40.633598,-73.91751,Academy for Conservation and the Environment,0.37,0.45
ACADEMY FOR EXCELLENCE IN LEADERSHIP,NEW YORK,Kings County,BROOKLYN,11237.0,Public,0,0,11-City: Large,1,355,194,0.0,10.0,253.0,77.0,14.0,0.0,1.0,13.18,54.647887323943664,0.0,2.8169014084507045,71.26760563380282,21.69014084507042,3.943661971830986,0.0,0.28169014084507044,,,,,,
ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE),NEW YORK,Queens County,FOREST HILLS,11375.0,Public,0,0,11-City: Large,0,196,39,0.0,73.0,40.0,7.0,71.0,0.0,5.0,15.14,19.897959183673468,0.0,37.244897959183675,20.408163265306122,3.571428571428571,36.224489795918366,0.0,2.5510204081632653,28Q303,40.725678,-73.844063,The Academy for Excellence through the Arts,0.73,0.88
ACADEMY FOR HEALTH CAREERS,NEW YORK,Kings County,BROOKLYN,11213.0,Public,0,0,11-City: Large,1,367,286,2.0,9.0,36.0,305.0,5.0,0.0,10.0,13.33,77.9291553133515,0.544959128065395,2.452316076294278,9.809264305177113,83.10626702997274,1.3623978201634876,0.0,2.7247956403269753,17K751,40.675934,-73.939254,Academy for Health Careers,0.3,0.38
ACADEMY FOR LANGUAGE AND TECHNOLOGY,NEW YORK,Bronx County,BRONX,10453.0,Public,0,0,11-City: Large,1,311,307,0.0,0.0,310.0,1.0,0.0,0.0,0.0,13.59,98.71382636655949,0.0,0.0,99.67845659163987,0.3215434083601286,0.0,0.0,0.0,09X365,40.849452,-73.915704,Academy for Language and Technology,1.01,0.59
ACADEMY FOR NEW AMERICANS,NEW YORK,Queens County,ASTORIA,11102.0,Public,0,0,11-City: Large,1,135,123,0.0,27.0,83.0,2.0,23.0,0.0,0.0,11.3,91.11111111111111,0.0,20.0,61.48148148148148,1.4814814814814816,17.037037037037038,0.0,0.0,30Q235,40.766991,-73.923126,,,
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,NEW YORK,Bronx County,BRONX,10468.0,Public,0,0,11-City: Large,1,450,429,0.0,10.0,378.0,55.0,6.0,0.0,1.0,9.02,95.33333333333334,0.0,2.2222222222222223,84.0,12.222222222222221,1.3333333333333335,0.0,0.2222222222222222,10X363,40.85958,-73.900443,Academy For Personal Leadership And Excellence,0.45,0.35
ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,NEW YORK,New York County,NEW YORK,10027.0,Public,0,0,11-City: Large,1,170,133,1.0,3.0,78.0,78.0,8.0,0.0,2.0,11.46,78.23529411764706,0.5882352941176471,1.7647058823529411,45.88235294117647,45.88235294117647,4.705882352941177,0.0,1.1764705882352942,,,,,,
ACADEMY FOR SOFTWARE ENGINEERING,NEW YORK,New York County,NEW YORK,10003.0,Public,0,0,11-City: Large,1,454,325,2.0,44.0,227.0,119.0,43.0,0.0,19.0,12.93,71.58590308370044,0.4405286343612335,9.691629955947137,50.0,26.21145374449339,9.47136563876652,0.0,4.185022026431718,02M546,40.735504,-73.987439,Academy for Software Engineering,0.48,0.49
ACADEMY FOR YOUNG WRITERS,NEW YORK,Kings County,BROOKLYN,11208.0,Public,0,0,11-City: Large,1,586,407,3.0,7.0,142.0,424.0,3.0,0.0,7.0,12.91,69.45392491467577,0.5119453924914675,1.1945392491467577,24.2320819112628,72.35494880546075,0.5119453924914675,0.0,1.1945392491467577,19K404,40.65711,-73.873901,Academy for Young Writers,0.44,0.41
ACADEMY FOR YOUNG WRITERS,NEW YORK,Kings County,BROOKLYN,11208.0,Public,0,0,11-City: Large,1,586,407,3.0,7.0,142.0,424.0,3.0,0.0,7.0,12.91,69.45392491467577,0.5119453924914675,1.1945392491467577,24.2320819112628,72.35494880546075,0.5119453924914675,0.0,1.1945392491467577,19K404,40.65711,-73.873901,Academy for Young Writers,0.5,0.49
ACADEMY OF AMERICAN STUDIES,NEW YORK,Queens County,LONG ISLAND CITY,11101.0,Public,0,0,11-City: Large,0,895,637,1.0,256.0,298.0,70.0,262.0,0.0,8.0,22.12,71.1731843575419,0.11173184357541899,28.60335195530726,33.29608938547486,7.82122905027933,29.27374301675978,0.0,0.8938547486033519,30Q575,40.751468,-73.936991,Academy of American Studies,0.7,0.75
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,NEW YORK,Bronx County,BRONX,10454.0,Public,0,0,11-City: Large,1,305,285,0.0,2.0,221.0,80.0,2.0,0.0,0.0,13.93,93.44262295081968,0.0,0.6557377049180327,72.45901639344262,26.229508196721312,0.6557377049180327,0.0,0.0,07X343,40.810107,-73.918208,Academy of Applied Mathematics and Technology,0.59,0.5
ACADEMY OF ARTS AND LETTERS,NEW YORK,Kings County,BROOKLYN,11205.0,Public,0,0,11-City: Large,0,517,152,2.0,35.0,89.0,204.0,160.0,0.0,27.0,15.77,29.40038684719536,0.3868471953578337,6.769825918762089,17.2147001934236,39.458413926499034,30.947775628626694,0.0,5.222437137330754,13K492,40.691024,-73.971175,Academy of Arts and Letters,0.43,0.59
ACADEMY OF FINANCE AND ENTERPRISE,NEW YORK,Queens County,LONG ISLAND CITY,11101.0,Public,0,0,11-City: Large,1,512,413,9.0,119.0,267.0,39.0,77.0,0.0,1.0,20.24,80.6640625,1.7578125,23.2421875,52.1484375,7.6171875,15.0390625,0.0,0.1953125,24Q264,40.744607,-73.93688,Academy of Finance and Enterprise,0.67,0.69
ACADEMY OF HOSPITALITY AND TOURISM,NEW YORK,Kings County,BROOKLYN,11226.0,Public,0,0,11-City: Large,1,225,192,3.0,7.0,25.0,184.0,6.0,0.0,0.0,13.27,85.33333333333334,1.3333333333333335,3.111111111111111,11.11111111111111,81.77777777777779,2.666666666666667,0.0,0.0,17K408,40.64955,-73.958198,Academy of Hospitality and Tourism,0.51,0.44
ACADEMY OF INNOVATIVE TECHNOLOGY,NEW YORK,Kings County,BROOKLYN,11208.0,Public,0,0,11-City: Large,1,404,333,4.0,20.0,179.0,189.0,5.0,0.0,7.0,10.8,82.42574257425743,0.9900990099009901,4.9504950495049505,44.306930693069305,46.78217821782179,1.2376237623762376,0.0,1.7326732673267329,19K618,40.692988,-73.869113,Academy of Innovative Technology,0.56,0.54
